CPUID:,0xA50F00
Processor:,AMD Ryzen 7 5800H
Platform:,Socket FP6 (BGA 1140)
Revision:,CZN-A0
Lithography:,7 nm

* Values should be divided by 1000
Session start:,00:04:36 - December 17 - 2025

Time,Cur. CPU #0 Tdie #0,Min. CPU #0 Tdie #0,Max. CPU #0 Tdie #0,Avg. CPU #0 Tdie #0,Cur. CPU #0 Core #0,Min. CPU #0 Core #0,Max. CPU #0 Core #0,Avg. CPU #0 Core #0,Cur. CPU #0 Core #1,Min. CPU #0 Core #1,Max. CPU #0 Core #1,Avg. CPU #0 Core #1,Cur. CPU #0 Core #2,Min. CPU #0 Core #2,Max. CPU #0 Core #2,Avg. CPU #0 Core #2,Cur. CPU #0 Core #3,Min. CPU #0 Core #3,Max. CPU #0 Core #3,Avg. CPU #0 Core #3,Cur. CPU #0 Core #4,Min. CPU #0 Core #4,Max. CPU #0 Core #4,Avg. CPU #0 Core #4,Cur. CPU #0 Core #5,Min. CPU #0 Core #5,Max. CPU #0 Core #5,Avg. CPU #0 Core #5,Cur. CPU #0 Core #6,Min. CPU #0 Core #6,Max. CPU #0 Core #6,Avg. CPU #0 Core #6,Cur. CPU #0 Core #7,Min. CPU #0 Core #7,Max. CPU #0 Core #7,Avg. CPU #0 Core #7,CPU #0 Core #0 Load,CPU #0 Core #0 Frequency,CPU #0 Core #1 Load,CPU #0 Core #1 Frequency,CPU #0 Core #2 Load,CPU #0 Core #2 Frequency,CPU #0 Core #3 Load,CPU #0 Core #3 Frequency,CPU #0 Core #4 Load,CPU #0 Core #4 Frequency,CPU #0 Core #5 Load,CPU #0 Core #5 Frequency,CPU #0 Core #6 Load,CPU #0 Core #6 Frequency,CPU #0 Core #7 Load,CPU #0 Core #7 Frequency,CPU #0 Package,CPU #0 Core #0,CPU #0 Core #1,CPU #0 Core #2,CPU #0 Core #3,CPU #0 Core #4,CPU #0 Core #5,CPU #0 Core #6,CPU #0 Core #7,
00:09:56 12/17/25,46000,44000,57125,49067,44363,41404,54615,46774,44668,42015,56909,47899,43826,41122,54731,46526,43780,41442,55766,46918,43450,40920,54459,46067,43587,41317,55187,46456,43399,40930,53649,45740,43546,41369,54580,46188,17315,1856479,18876,1856479,5816,1547066,1967,1547066,1967,1547066,1099,1547066,423,1547066,1963,1547066,4797,433,396,152,4,4,4,4,11,
00:10:06 12/17/25,47875,44000,57125,49004,45793,41404,54615,46732,47437,42015,56909,47848,45650,41122,54731,46484,45929,41442,55766,46861,44722,40920,54459,46020,44679,41317,55187,46394,44465,40930,53649,45693,44482,41369,54580,46130,16563,1856479,29634,1856479,22701,1547066,1904,1547066,1904,1547066,1904,1547066,1904,1547066,1134,1547066,5379,435,614,404,392,13,11,12,21,
00:10:16 12/17/25,46750,44000,57125,48961,43918,41404,54615,46685,44252,42015,56909,47787,43722,41122,54731,46436,43778,41442,55766,46798,43497,40920,54459,45971,43685,41317,55187,46338,43499,40930,53649,45651,43693,41369,54580,46080,8967,1856479,5088,1856479,5088,1547066,1210,1547066,1210,1547066,1210,1480492,1210,1480492,1210,1480492,1828,406,287,129,6,4,5,4,17,
00:10:26 12/17/25,46125,44000,57125,48893,43969,41404,54615,46624,44557,42015,56909,47705,43549,41122,54731,46371,43780,41442,55766,46726,43331,40920,54459,45910,43552,41317,55187,46271,43316,40930,53649,45597,43569,41369,54580,46020,1865,1856479,1817,1856479,1028,1547066,514,1547066,0,1547066,0,1480492,0,1480492,514,1480492,1274,429,413,4,6,4,4,4,15,
00:10:36 12/17/25,46500,44000,57125,48820,44926,41404,54615,46562,46064,42015,56909,47629,44369,41122,54731,46306,44255,41442,55766,46652,43747,40920,54459,45846,43908,41317,55187,46204,43648,40930,53649,45541,43835,41369,54580,45959,7274,1856479,19026,1856479,19026,1547066,224,1547066,224,1547066,224,1547066,224,1547066,102,1547066,5256,436,574,210,4,4,4,4,13,
00:10:46 12/17/25,47125,44000,57125,48784,45419,41404,54615,46536,45565,42015,56909,47591,44985,41122,54731,46280,44494,41442,55766,46607,44483,40920,54459,45814,44336,41317,55187,46159,44367,40930,53649,45511,44330,41369,54580,45918,7371,1856479,2660,1856479,3449,1856479,1082,1547066,1082,1547066,1082,1547066,1082,1547066,541,1480492,3823,439,387,230,4,4,4,4,16,
00:10:56 12/17/25,47625,44000,57125,48743,45966,41404,54615,46513,46481,42015,56909,47552,45731,41122,54731,46251,45183,41442,55766,46563,44874,40920,54459,45783,44706,41317,55187,46119,44667,40930,53649,45484,44630,41369,54580,45882,8935,1547066,5829,1856479,352,1547066,308,1547066,265,1547066,265,1547066,265,1547066,1048,1547066,2775,495,460,331,102,5,4,4,16,
00:11:06 12/17/25,46500,44000,57125,48701,44675,41404,54615,46479,44977,42015,56909,47500,44377,41122,54731,46214,44278,41442,55766,46514,44001,40920,54459,45746,44147,41317,55187,46077,43958,40930,53649,45453,44123,41369,54580,45845,40068,1856479,27529,1547066,27547,1856479,20487,1856479,7152,1547066,830,1547066,0,1547066,95,1547066,3855,468,320,163,4,4,4,4,14,
00:11:16 12/17/25,48625,44000,57125,48680,46013,41404,54615,46472,48289,42015,56909,47490,45862,41122,54731,46207,45633,41442,55766,46491,45198,40920,54459,45732,45066,41317,55187,46051,44977,40930,53649,45438,44957,41369,54580,45820,4268,1856479,11967,1856479,28134,1547066,420,1547066,1959,1547066,1959,1547066,1959,1547066,420,1547066,5054,325,733,240,4,4,4,4,11,
00:11:26 12/17/25,49625,44000,57125,48688,47563,41404,54615,46482,48310,42015,56909,47504,47689,41122,54731,46221,47864,41442,55766,46497,46434,40920,54459,45735,46134,41317,55187,46045,45870,40930,53649,45438,45802,41369,54580,45812,11283,1856479,16712,1856479,16712,1547066,3645,1547066,4298,1547066,450,1547066,450,1547066,450,1547066,5211,519,451,596,605,138,7,8,17,
