[WIN] 2025-12-18 16:35:45 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 64.88% | Disk: 95.65%
[WIN] 2025-12-18 16:35:49 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 65.09% | Disk: 95.65%
[WIN] 2025-12-18 16:35:54 | CPU: 5.29% | Temp: N/A | GPU: 0.00% | Mem: 66.11% | Disk: 95.65%
[WIN] 2025-12-18 16:35:58 | CPU: 2.98% | Temp: N/A | GPU: 0.00% | Mem: 66.49% | Disk: 95.65%
[WIN] 2025-12-18 16:36:03 | CPU: 5.29% | Temp: N/A | GPU: 0.00% | Mem: 66.39% | Disk: 95.65%
[WIN] 2025-12-18 16:36:07 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 66.60% | Disk: 95.65%
[WIN] 2025-12-18 16:37:12 | CPU: 2.38% | Temp: N/A | GPU: 0.00% | Mem: 66.02% | Disk: 95.65%
[WIN] 2025-12-18 16:37:17 | CPU: 1.19% | Temp: N/A | GPU: 0.00% | Mem: 65.81% | Disk: 95.65%
[WIN] 2025-12-18 16:37:21 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 65.82% | Disk: 95.65%
[WIN] 2025-12-18 16:37:26 | CPU: 0.60% | Temp: N/A | GPU: 0.00% | Mem: 65.72% | Disk: 95.65%
[WIN] 2025-12-18 16:37:30 | CPU: 1.80% | Temp: N/A | GPU: 0.00% | Mem: 66.00% | Disk: 95.65%
[WIN] 2025-12-18 16:37:35 | CPU: 0.60% | Temp: N/A | GPU: 0.00% | Mem: 65.86% | Disk: 95.65%
[WIN] 2025-12-18 16:37:39 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 66.16% | Disk: 95.65%
[WIN] 2025-12-18 16:37:44 | CPU: 3.53% | Temp: N/A | GPU: 0.00% | Mem: 66.38% | Disk: 95.65%
[WIN] 2025-12-18 16:37:48 | CPU: 4.71% | Temp: N/A | GPU: 0.00% | Mem: 67.99% | Disk: 95.65%
[WIN] 2025-12-18 16:37:53 | CPU: 4.12% | Temp: N/A | GPU: 0.00% | Mem: 67.73% | Disk: 95.65%
[WIN] 2025-12-18 16:37:57 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 67.40% | Disk: 95.65%
[WIN] 2025-12-18 16:38:02 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 67.41% | Disk: 95.65%
[WIN] 2025-12-18 16:38:06 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 67.44% | Disk: 95.65%
[WIN] 2025-12-18 16:38:11 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 67.40% | Disk: 95.65%
[WIN] 2025-12-18 16:38:15 | CPU: 0.00% | Temp: N/A | GPU: 0.00% | Mem: 67.34% | Disk: 95.65%
[WIN] 2025-12-18 16:38:20 | CPU: 2.38% | Temp: N/A | GPU: 0.00% | Mem: 66.84% | Disk: 95.65%
[WIN] 2025-12-18 16:38:24 | CPU: 7.06% | Temp: N/A | GPU: 0.00% | Mem: 66.80% | Disk: 95.65%
[WIN] 2025-12-18 16:38:28 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 62.32% | Disk: 95.65%
[WIN] 2025-12-18 16:38:33 | CPU: 1.19% | Temp: N/A | GPU: 0.00% | Mem: 62.56% | Disk: 95.65%
[WIN] 2025-12-18 16:38:37 | CPU: 1.20% | Temp: N/A | GPU: 0.00% | Mem: 62.56% | Disk: 95.65%
[WIN] 2025-12-18 16:38:42 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 62.74% | Disk: 95.65%
[WIN] 2025-12-18 16:38:46 | CPU: 1.20% | Temp: N/A | GPU: 0.00% | Mem: 62.76% | Disk: 95.65%
[WIN] 2025-12-18 16:38:51 | CPU: 0.58% | Temp: N/A | GPU: 0.00% | Mem: 62.88% | Disk: 95.65%
[WIN] 2025-12-18 16:38:55 | CPU: 2.99% | Temp: N/A | GPU: 0.00% | Mem: 63.51% | Disk: 95.65%
[WIN] 2025-12-18 16:39:00 | CPU: 5.85% | Temp: N/A | GPU: 0.00% | Mem: 63.59% | Disk: 95.65%
[WIN] 2025-12-18 16:39:04 | CPU: 1.19% | Temp: N/A | GPU: 0.00% | Mem: 63.35% | Disk: 95.65%
[WIN] 2025-12-18 16:39:09 | CPU: 1.16% | Temp: N/A | GPU: 0.00% | Mem: 63.48% | Disk: 95.65%
[WIN] 2025-12-18 16:39:13 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 63.37% | Disk: 95.65%
[WIN] 2025-12-18 16:39:18 | CPU: 1.79% | Temp: N/A | GPU: 0.00% | Mem: 63.07% | Disk: 95.65%
[WIN] 2025-12-18 16:39:22 | CPU: 1.79% | Temp: N/A | GPU: 0.00% | Mem: 63.44% | Disk: 95.65%
[WIN] 2025-12-18 16:39:27 | CPU: 14.71% | Temp: N/A | GPU: 0.00% | Mem: 64.28% | Disk: 95.65%
[WIN] 2025-12-18 16:41:17 | CPU: 1.20% | Temp: 56°C | GPU: 1.30% | Mem: 63.47% | Disk: 95.66%
[WIN] 2025-12-18 16:41:21 | CPU: 1.21% | Temp: 54°C | GPU: 6.80% | Mem: 63.44% | Disk: 95.66%
[WIN] 2025-12-18 16:41:26 | CPU: 1.22% | Temp: 53°C | GPU: 2.90% | Mem: 63.47% | Disk: 95.66%
[WIN] 2025-12-18 16:41:30 | CPU: 2.42% | Temp: 54°C | GPU: 3.10% | Mem: 63.63% | Disk: 95.66%
[WIN] 2025-12-18 16:41:34 | CPU: 0.61% | Temp: 53°C | GPU: 0.00% | Mem: 63.54% | Disk: 95.66%
[WIN] 2025-12-18 16:41:39 | CPU: 1.21% | Temp: 52°C | GPU: 2.70% | Mem: 63.77% | Disk: 95.66%
[WIN] 2025-12-18 16:41:43 | CPU: 0.61% | Temp: 52°C | GPU: 0.00% | Mem: 63.59% | Disk: 95.66%
[WIN] 2025-12-18 16:41:47 | CPU: 0.60% | Temp: 53°C | GPU: 0.00% | Mem: 63.62% | Disk: 95.66%
[WIN] 2025-12-18 16:41:52 | CPU: 1.21% | Temp: 53°C | GPU: 1.20% | Mem: 63.51% | Disk: 95.66%
[WIN] 2025-12-18 16:41:56 | CPU: 0.61% | Temp: 54°C | GPU: 0.10% | Mem: 63.46% | Disk: 95.66%
[WIN] 2025-12-18 16:42:00 | CPU: 2.41% | Temp: 54°C | GPU: 2.80% | Mem: 63.68% | Disk: 95.66%
[WIN] 2025-12-18 16:42:05 | CPU: 1.21% | Temp: 58°C | GPU: 0.00% | Mem: 63.46% | Disk: 95.66%
[WIN] 2025-12-18 16:42:09 | CPU: 0.61% | Temp: 63°C | GPU: 1.30% | Mem: 64.20% | Disk: 95.66%
[WIN] 2025-12-18 16:42:13 | CPU: 0.00% | Temp: 58°C | GPU: 0.20% | Mem: 63.91% | Disk: 95.66%
[WIN] 2025-12-18 16:42:17 | CPU: 1.82% | Temp: 54°C | GPU: 8.00% | Mem: 63.50% | Disk: 95.66%
[WIN] 2025-12-18 16:42:22 | CPU: 3.03% | Temp: 60°C | GPU: 7.40% | Mem: 64.09% | Disk: 95.66%
[WIN] 2025-12-18 16:42:26 | CPU: 2.42% | Temp: 61°C | GPU: 12.40% | Mem: 64.81% | Disk: 95.66%
[WIN] 2025-12-18 16:42:32 | CPU: 100.00% | Temp: 81°C | GPU: 5.20% | Mem: 66.40% | Disk: 95.66%
[WIN] 2025-12-18 16:42:39 | CPU: 100.00% | Temp: 92°C | GPU: 51.70% | Mem: 66.86% | Disk: 95.66%
[WIN] 2025-12-18 16:42:44 | CPU: 2.41% | Temp: 91°C | GPU: 9.00% | Mem: 67.16% | Disk: 95.66%
